region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
462,590266,2241060,3.797,0,345029
187,559543,2241048,4.005,0,309761
228,594693,2241046,3.768,0,421255
570,560194,2241040,4.000,0,493771
146,712924,2241036,3.143,0,61677
477,581707,2241036,3.853,0,418803
13,656815,2241032,3.412,0,309317
122,567701,2241032,3.948,0,444639
545,584565,2241032,3.834,0,450185
618,664019,2241032,3.375,0,267835
136,699931,2241020,3.202,0,208459
49,568209,2241018,3.944,0,423427
571,644254,2241018,3.478,0,327453
356,791410,2241016,2.832,0,45623
425,587217,2241016,3.816,0,412547
429,579815,2241014,3.865,0,431789
386,621170,2241012,3.608,0,324123
609,592230,2241012,3.784,0,372459
427,596621,2241010,3.756,0,379887
137,652419,2241008,3.435,0,316377
379,652415,2241008,3.435,0,272771
584,551848,2241006,4.061,0,461211
592,540073,2241006,4.149,0,512515
500,542870,2241004,4.128,0,521139
630,546272,2241004,4.102,0,461145
415,696579,2241000,3.217,0,67105
290,658386,2240998,3.404,0,278131
302,643794,2240998,3.481,0,262223
29,662403,2240996,3.383,0,210019
575,617038,2240994,3.632,0,322253
261,595049,2240990,3.766,0,397795
25,687176,2240976,3.261,0,155073
421,592414,2240976,3.783,0,262957
489,576335,2240970,3.888,0,420515
5,672826,2240964,3.331,0,208945
473,530781,2240964,4.222,0,550101
303,709218,2240958,3.160,0,150129
108,530069,2240956,4.228,0,593721
4,674407,2240954,3.323,0,196589
264,607066,2240952,3.691,0,362523
41,596360,2240946,3.758,0,369383
526,572777,2240946,3.912,0,306441
445,554114,2240942,4.044,0,496527
124,664481,2240940,3.372,0,254473
634,564382,2240936,3.971,0,434513
214,639058,2240930,3.507,0,306245
636,546040,2240930,4.104,0,491447
517,563222,2240928,3.979,0,492953
607,593598,2240920,3.775,0,356159
266,609395,2240914,3.677,0,350423
238,655804,2240912,3.417,0,233065
416,702610,2240912,3.189,0,66175
24,712397,2240910,3.146,0,106193
197,625804,2240910,3.581,0,308373
497,659975,2240906,3.395,0,147735
337,609250,2240900,3.678,0,313161
385,607507,2240900,3.689,0,370691
