pc,all_instructions,all_total_cycles,marg_instructions,marg_total_cycles
0x1ff8884,46435,46435,5011,5011
0x1ff8888,46435,46435,5011,5011
0x1ff888c,46435,87957,5011,9568
0x1ff8890,46435,139305,5011,15033
0x1ff8894,24326,24326,2622,2622
0x1ff8898,24326,24326,2622,2622
0x1ff889c,24326,24326,2622,2622
0x1ff88a0,24326,24326,2622,2622
0x1ff88a4,24326,24450,2622,2632
0x1ff88a8,24326,24326,2622,2622
0x1ff88ac,24326,24326,2622,2622
0x1ff88b0,24326,24326,2622,2622
0x1ff88b4,24326,24326,2622,2622
0x1ff88b8,24326,24326,2622,2622
0x1ff88bc,24326,24326,2622,2622
0x1ff88c0,24326,24326,2622,2622
0x1ff88c4,24326,24326,2622,2622
0x1ff88c8,24326,24326,2622,2622
0x1ff88cc,24326,24326,2622,2622
0x1ff88d0,24326,24326,2622,2622
0x1ff88d4,24326,24326,2622,2622
0x1ff88d8,24326,57288,2622,6599
0x1ff88dc,24327,27049,2622,2972
0x1ff88e0,24326,24326,2622,2622
0x1ff88e4,24326,24326,2622,2622
0x1ff88e8,24326,24326,2622,2622
0x1ff88ec,24327,24329,2623,2625
0x1ff88f0,24326,24326,2622,2622
0x1ff88f4,24326,24326,2622,2622
0x1ff88f8,24326,24326,2622,2622
0x1ff88fc,24326,383515,2622,40987
0x1ff8900,24326,55021,2622,5897
0x1ff8904,24326,24326,2622,2622
0x1ff8908,24326,24326,2622,2622
0x1ff890c,24326,24326,2622,2622
0x1ff8910,24326,153275,2622,16377
0x1ff8914,24326,24326,2622,2622
0x1ff8918,24326,24326,2622,2622
0x1ff891c,24326,24326,2622,2622
0x1ff8920,24326,24326,2622,2622
0x1ff8924,24326,24326,2622,2622
0x1ff8928,24326,72978,2622,7866
0x1ff892c,16154,16154,1744,1744
0x1ff8930,16154,16154,1744,1744
0x1ff8934,16154,30722,1744,3241
0x1ff8938,16154,82613,1744,8903
0x1ff893c,16154,16154,1744,1744
0x1ff8940,16154,16154,1744,1744
0x1ff8944,16154,99978,1744,11349
0x1ff8948,16154,28754,1744,3194
0x1ff894c,16154,16154,1744,1744
0x1ff8950,16154,16154,1744,1744
0x1ff8954,16154,32102,1744,3604
0x1ff8958,16154,16154,1744,1744
0x1ff895c,16154,16154,1744,1744
0x1ff8960,16154,16154,1744,1744
0x1ff8964,16154,16154,1744,1744
0x1ff8968,16154,16154,1744,1744
0x1ff896c,16154,16154,1744,1744
0x1ff8970,16154,16154,1744,1744
0x1ff8974,16154,16154,1744,1744
0x1ff8978,16154,16154,1744,1744
0x1ff897c,16154,16154,1744,1744
0x1ff8980,16154,16154,1744,1744
0x1ff8984,16154,16154,1744,1744
0x1ff8988,16154,16154,1744,1744
0x1ff898c,16154,16154,1744,1744
0x1ff8990,16154,16154,1744,1744
0x1ff8994,16154,16154,1744,1744
0x1ff8998,16154,16276,1744,1751
0x1ff899c,16154,16154,1744,1744
0x1ff89a0,16154,16154,1744,1744
0x1ff89a4,16154,48462,1744,5232
0x1ff89a8,16154,16154,1744,1744
0x1ff89ac,16154,16154,1744,1744
0x1ff89b0,16154,16358,1744,1754
0x1ff89b4,16154,16154,1744,1744
0x1ff89b8,16154,16154,1744,1744
0x1ff89bc,16154,16154,1744,1744
0x1ff89c0,16154,17238,1744,1863
0x1ff89c4,16154,16154,1744,1744
0x1ff89c8,16154,16154,1744,1744
0x1ff89cc,16154,16154,1744,1744
0x1ff89d0,16154,17548,1744,1894
0x1ff89d4,16154,16154,1744,1744
0x1ff89d8,16154,16154,1744,1744
0x1ff89dc,16154,16154,1744,1744
0x1ff89e0,16154,16154,1744,1744
0x1ff89e4,16154,16154,1744,1744
0x1ff89e8,16154,16154,1744,1744
0x1ff89ec,16154,17311,1744,1871
0x1ff89f0,16154,16154,1744,1744
0x1ff89f4,16154,16154,1744,1744
0x1ff89f8,16154,16154,1744,1744
0x1ff89fc,16154,17661,1744,1912
0x1ff8a00,16154,16154,1744,1744
0x1ff8a04,16154,16154,1744,1744
0x1ff8a08,16154,17811,1744,1924
0x1ff8a0c,16154,34745,1744,3729
0x1ff8a10,16154,16154,1744,1744
0x1ff8a14,16154,16154,1744,1744
0x1ff8a18,16154,16154,1744,1744
0x1ff8a1c,16154,16154,1744,1744
0x1ff8a20,16154,77188,1744,8254
0x1ff8a24,16154,54937,1744,6090
0x1ff8a28,16154,80985,1744,8720
0x1ff8a2c,16154,48462,1744,5232
0x1ff8a34,5833,5833,629,629
0x1ff8a38,5833,5833,629,629
0x1ff8a3c,5833,23332,629,2516
0x1ff8a40,5833,5833,629,629
0x1ff8a44,5833,5833,629,629
0x1ff8a48,5833,5833,629,629
0x1ff8a4c,5833,5833,629,629
0x1ff8a50,5833,17499,629,1887
0x1ff8a54,5833,5833,629,629
0x1ff8a58,5833,5833,629,629
0x1ff8a5c,5833,5833,629,629
0x1ff8a60,5833,5833,629,629
0x1ff8a64,5833,5833,629,629
0x1ff8a68,5833,5833,629,629
0x1ff8a6c,5833,5833,629,629
0x1ff8a70,5833,5833,629,629
0x1ff8a74,5833,5833,629,629
0x1ff8a78,5833,5833,629,629
0x1ff8a7c,5833,5833,629,629
0x1ff8a80,5833,5833,629,629
0x1ff8a84,5833,5833,629,629
0x1ff8a88,5834,5836,630,632
0x1ff8a8c,5833,5833,629,629
0x1ff8a90,5833,5833,629,629
