0x020ca0b2 in __get_handle ()
Temporary breakpoint 1 at 0x2080198: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
FPSP battle entered
Breakpoint 2 at 0x204fe28: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4645.
FPSP 97 x10=299 sc=7 fw=15 tw=16798848 pres=96 vbl=237
FPSP 98 x10=299 sc=7 fw=15 tw=16798848 pres=97 vbl=239
FPSP 99 x10=299 sc=7 fw=15 tw=16798848 pres=98 vbl=241
FPSP 100 x10=299 sc=7 fw=15 tw=16798848 pres=99 vbl=243
FPSP 101 x10=299 sc=7 fw=15 tw=16798848 pres=100 vbl=245
FPSP 102 x10=299 sc=7 fw=15 tw=16798848 pres=101 vbl=247
FPSP 103 x10=299 sc=7 fw=15 tw=16798848 pres=102 vbl=249
FPSP 104 x10=299 sc=7 fw=15 tw=16798848 pres=103 vbl=251
FPSP 105 x10=299 sc=7 fw=15 tw=16798848 pres=104 vbl=253
FPSP 106 x10=299 sc=7 fw=15 tw=16798848 pres=105 vbl=255
FPSP 107 x10=299 sc=7 fw=15 tw=16798848 pres=106 vbl=257
FPSP 108 x10=299 sc=7 fw=15 tw=16798848 pres=107 vbl=259
FPSP 109 x10=299 sc=8 fw=15 tw=16796544 pres=108 vbl=261
FPSP 110 x10=299 sc=8 fw=15 tw=16796544 pres=109 vbl=263
FPSP 111 x10=299 sc=8 fw=15 tw=16796544 pres=110 vbl=265
FPSP 112 x10=299 sc=8 fw=15 tw=16796544 pres=112 vbl=267
FPSP 113 x10=299 sc=8 fw=15 tw=16796544 pres=112 vbl=269
FPSP 114 x10=299 sc=8 fw=15 tw=16796544 pres=113 vbl=271
FPSP 115 x10=299 sc=8 fw=15 tw=16796544 pres=114 vbl=273
FPSP 116 x10=299 sc=8 fw=15 tw=16796544 pres=115 vbl=275
FPSP 117 x10=299 sc=8 fw=15 tw=16796544 pres=116 vbl=277
FPSP 118 x10=299 sc=8 fw=15 tw=16796544 pres=117 vbl=279
FPSP 119 x10=299 sc=8 fw=15 tw=16796544 pres=118 vbl=281
FPSP 120 x10=299 sc=8 fw=15 tw=16796544 pres=119 vbl=283
FPSP 121 x10=227 sc=9 fw=12 tw=17696896 pres=120 vbl=285
FPSP 122 x10=227 sc=9 fw=12 tw=17696896 pres=121 vbl=287
FPSP 123 x10=227 sc=9 fw=12 tw=17696896 pres=122 vbl=289
FPSP 124 x10=227 sc=9 fw=12 tw=17696896 pres=123 vbl=291
FPSP 125 x10=227 sc=9 fw=12 tw=17696896 pres=124 vbl=293
FPSP 126 x10=227 sc=9 fw=12 tw=17696896 pres=125 vbl=295
FPSP 127 x10=227 sc=9 fw=12 tw=17696896 pres=126 vbl=297
FPSP 128 x10=227 sc=9 fw=12 tw=17696896 pres=127 vbl=299
FPSP 129 x10=227 sc=9 fw=12 tw=17696896 pres=128 vbl=301
FPSP 130 x10=227 sc=9 fw=12 tw=17696896 pres=129 vbl=303
FPSP 131 x10=227 sc=9 fw=12 tw=17696896 pres=130 vbl=305
FPSP 132 x10=227 sc=9 fw=12 tw=17696896 pres=131 vbl=307
FPSP 133 x10=227 sc=9 fw=12 tw=17696896 pres=132 vbl=309
FPSP 134 x10=227 sc=9 fw=12 tw=17696896 pres=133 vbl=311
FPSP 135 x10=227 sc=9 fw=12 tw=17696896 pres=134 vbl=313
FPSP 136 x10=298 sc=10 fw=15 tw=16850496 pres=135 vbl=315
FPSP 137 x10=298 sc=10 fw=15 tw=16850496 pres=136 vbl=317
FPSP 138 x10=298 sc=10 fw=15 tw=16850496 pres=137 vbl=319
FPSP 139 x10=298 sc=10 fw=15 tw=16850496 pres=138 vbl=321
FPSP 140 x10=298 sc=10 fw=15 tw=16850496 pres=139 vbl=323
FPSP 141 x10=298 sc=10 fw=15 tw=16850496 pres=140 vbl=325
FPSP 142 x10=298 sc=10 fw=15 tw=16850496 pres=141 vbl=327
FPSP 143 x10=298 sc=10 fw=15 tw=16850496 pres=142 vbl=329
FPSP 144 x10=298 sc=10 fw=15 tw=16850496 pres=143 vbl=331
FPSP 145 x10=298 sc=10 fw=15 tw=16850496 pres=144 vbl=333
FPSP 146 x10=298 sc=10 fw=15 tw=16850496 pres=145 vbl=335
FPSP 147 x10=298 sc=10 fw=15 tw=16850496 pres=146 vbl=337
FPSP 148 x10=298 sc=10 fw=15 tw=16850496 pres=147 vbl=339
FPSP 149 x10=298 sc=10 fw=15 tw=16850496 pres=148 vbl=341
FPSP 150 x10=298 sc=10 fw=15 tw=16850496 pres=149 vbl=343
FPSP 151 x10=298 sc=10 fw=15 tw=16850496 pres=150 vbl=345
FPSP 152 x10=301 sc=11 fw=16 tw=17822976 pres=151 vbl=347
FPSP 153 x10=301 sc=11 fw=16 tw=17822976 pres=152 vbl=349
FPSP 154 x10=301 sc=11 fw=16 tw=17822976 pres=153 vbl=351
FPSP 155 x10=301 sc=11 fw=16 tw=17822976 pres=154 vbl=353
FPSP 156 x10=301 sc=11 fw=16 tw=17822976 pres=155 vbl=355
FPSP 157 x10=301 sc=11 fw=16 tw=17822976 pres=156 vbl=357
FPSP 158 x10=301 sc=11 fw=16 tw=17822976 pres=157 vbl=359
FPSP 159 x10=301 sc=11 fw=16 tw=17822976 pres=158 vbl=361
FPSP 160 x10=301 sc=11 fw=16 tw=17822976 pres=159 vbl=363
FPSP 161 x10=301 sc=11 fw=16 tw=17822976 pres=160 vbl=365
FPSP 162 x10=301 sc=11 fw=16 tw=17822976 pres=161 vbl=367
FPSP 163 x10=301 sc=11 fw=16 tw=17822976 pres=162 vbl=369
FPSP 164 x10=301 sc=11 fw=16 tw=17822976 pres=163 vbl=371
FPSP 165 x10=301 sc=11 fw=16 tw=17822976 pres=164 vbl=373
FPSP 166 x10=301 sc=11 fw=16 tw=17822976 pres=165 vbl=375
FPSP 167 x10=299 sc=12 fw=15 tw=16805312 pres=166 vbl=377
FPSP 168 x10=299 sc=12 fw=15 tw=16805312 pres=167 vbl=379
FPSP 169 x10=299 sc=12 fw=15 tw=16805312 pres=168 vbl=381
FPSP 170 x10=299 sc=12 fw=15 tw=16805312 pres=169 vbl=383
FPSP 171 x10=299 sc=12 fw=15 tw=16805312 pres=170 vbl=385
FPSP 172 x10=299 sc=12 fw=15 tw=16805312 pres=171 vbl=387
FPSP 173 x10=299 sc=12 fw=15 tw=16805312 pres=172 vbl=389
FPSP 174 x10=299 sc=12 fw=15 tw=16805312 pres=173 vbl=391
FPSP 175 x10=299 sc=12 fw=15 tw=16805312 pres=174 vbl=393
FPSP 176 x10=299 sc=12 fw=15 tw=16805312 pres=175 vbl=395
FPSP 177 x10=299 sc=12 fw=15 tw=16805312 pres=176 vbl=397
