0x01ffec2a in memcpy ()
Temporary breakpoint 1 at 0x2080150: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
FPSP battle entered
Breakpoint 2 at 0x204fde0: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4645.
FPSP 134 x10=299 sc=9 fw=15 tw=16827328 pres=133 vbl=312
FPSP 135 x10=299 sc=9 fw=15 tw=16827328 pres=134 vbl=314
FPSP 136 x10=299 sc=9 fw=15 tw=16827328 pres=135 vbl=316
FPSP 137 x10=299 sc=9 fw=15 tw=16827328 pres=136 vbl=318
FPSP 138 x10=299 sc=10 fw=15 tw=16786880 pres=137 vbl=320
FPSP 139 x10=299 sc=10 fw=15 tw=16786880 pres=138 vbl=322
FPSP 140 x10=299 sc=10 fw=15 tw=16786880 pres=139 vbl=324
FPSP 141 x10=299 sc=10 fw=15 tw=16786880 pres=140 vbl=326
FPSP 142 x10=299 sc=10 fw=15 tw=16786880 pres=141 vbl=328
FPSP 143 x10=299 sc=10 fw=15 tw=16786880 pres=142 vbl=330
FPSP 144 x10=299 sc=10 fw=15 tw=16786880 pres=143 vbl=332
FPSP 145 x10=299 sc=10 fw=15 tw=16786880 pres=144 vbl=334
FPSP 146 x10=299 sc=10 fw=15 tw=16786880 pres=145 vbl=336
FPSP 147 x10=299 sc=10 fw=15 tw=16786880 pres=146 vbl=338
FPSP 148 x10=299 sc=10 fw=15 tw=16786880 pres=147 vbl=340
FPSP 149 x10=299 sc=10 fw=15 tw=16786880 pres=148 vbl=342
FPSP 150 x10=299 sc=10 fw=15 tw=16786880 pres=149 vbl=344
FPSP 151 x10=299 sc=10 fw=15 tw=16786880 pres=150 vbl=346
FPSP 152 x10=299 sc=10 fw=15 tw=16786880 pres=151 vbl=348
FPSP 153 x10=299 sc=11 fw=15 tw=16806976 pres=152 vbl=350
FPSP 154 x10=299 sc=11 fw=15 tw=16806976 pres=153 vbl=352
FPSP 155 x10=299 sc=11 fw=15 tw=16806976 pres=154 vbl=354
FPSP 156 x10=299 sc=11 fw=15 tw=16806976 pres=155 vbl=356
FPSP 157 x10=299 sc=11 fw=15 tw=16806976 pres=156 vbl=358
FPSP 158 x10=299 sc=11 fw=15 tw=16806976 pres=157 vbl=360
FPSP 159 x10=299 sc=11 fw=15 tw=16806976 pres=158 vbl=362
FPSP 160 x10=299 sc=11 fw=15 tw=16806976 pres=159 vbl=364
FPSP 161 x10=299 sc=11 fw=15 tw=16806976 pres=160 vbl=366
FPSP 162 x10=299 sc=11 fw=15 tw=16806976 pres=161 vbl=368
FPSP 163 x10=299 sc=11 fw=15 tw=16806976 pres=162 vbl=370
FPSP 164 x10=299 sc=11 fw=15 tw=16806976 pres=163 vbl=372
FPSP 165 x10=299 sc=11 fw=15 tw=16806976 pres=164 vbl=374
FPSP 166 x10=299 sc=11 fw=15 tw=16806976 pres=165 vbl=376
FPSP 167 x10=299 sc=11 fw=15 tw=16806976 pres=166 vbl=378
FPSP 168 x10=299 sc=11 fw=15 tw=16806976 pres=167 vbl=380
FPSP 169 x10=299 sc=12 fw=15 tw=16804672 pres=168 vbl=382
FPSP 170 x10=299 sc=12 fw=15 tw=16804672 pres=169 vbl=384
FPSP 171 x10=299 sc=12 fw=15 tw=16804672 pres=170 vbl=386
FPSP 172 x10=299 sc=12 fw=15 tw=16804672 pres=171 vbl=388
FPSP 173 x10=299 sc=12 fw=15 tw=16804672 pres=172 vbl=390
FPSP 174 x10=299 sc=12 fw=15 tw=16804672 pres=173 vbl=392
FPSP 175 x10=299 sc=12 fw=15 tw=16804672 pres=174 vbl=394
FPSP 176 x10=299 sc=12 fw=15 tw=16804672 pres=175 vbl=396
FPSP 177 x10=299 sc=12 fw=15 tw=16804672 pres=176 vbl=398
FPSP 178 x10=299 sc=12 fw=15 tw=16804672 pres=177 vbl=400
FPSP 179 x10=299 sc=12 fw=15 tw=16804672 pres=179 vbl=402
FPSP 180 x10=299 sc=12 fw=15 tw=16804672 pres=179 vbl=404
FPSP 181 x10=299 sc=12 fw=15 tw=16804672 pres=180 vbl=406
FPSP 182 x10=299 sc=12 fw=15 tw=16804672 pres=181 vbl=408
FPSP 183 x10=299 sc=13 fw=15 tw=16803264 pres=182 vbl=410
FPSP 184 x10=299 sc=13 fw=15 tw=16803264 pres=183 vbl=412
FPSP 185 x10=299 sc=13 fw=15 tw=16803264 pres=184 vbl=414
FPSP 186 x10=299 sc=13 fw=15 tw=16803264 pres=185 vbl=416
FPSP 187 x10=299 sc=13 fw=15 tw=16803264 pres=186 vbl=418
FPSP 188 x10=299 sc=13 fw=15 tw=16803264 pres=187 vbl=420
FPSP 189 x10=299 sc=13 fw=15 tw=16803264 pres=188 vbl=422
FPSP 190 x10=299 sc=13 fw=15 tw=16803264 pres=189 vbl=424
FPSP 191 x10=299 sc=13 fw=15 tw=16803264 pres=190 vbl=426
FPSP 192 x10=299 sc=13 fw=15 tw=16803264 pres=191 vbl=428
FPSP 193 x10=299 sc=13 fw=15 tw=16803264 pres=192 vbl=430
FPSP 194 x10=299 sc=13 fw=15 tw=16803264 pres=193 vbl=432
FPSP 195 x10=299 sc=13 fw=15 tw=16803264 pres=194 vbl=434
FPSP 196 x10=299 sc=13 fw=15 tw=16803264 pres=196 vbl=436
FPSP 197 x10=299 sc=13 fw=15 tw=16803264 pres=196 vbl=438
FPSP 198 x10=298 sc=14 fw=15 tw=16863744 pres=197 vbl=440
FPSP 199 x10=298 sc=14 fw=15 tw=16863744 pres=198 vbl=442
FPSP 200 x10=298 sc=14 fw=15 tw=16863744 pres=199 vbl=444
FPSP 201 x10=298 sc=14 fw=15 tw=16863744 pres=200 vbl=446
FPSP 202 x10=298 sc=14 fw=15 tw=16863744 pres=201 vbl=448
FPSP 203 x10=298 sc=14 fw=15 tw=16863744 pres=202 vbl=450
FPSP 204 x10=298 sc=14 fw=15 tw=16863744 pres=203 vbl=452
FPSP 205 x10=298 sc=14 fw=15 tw=16863744 pres=204 vbl=454
FPSP 206 x10=298 sc=14 fw=15 tw=16863744 pres=205 vbl=456
FPSP 207 x10=298 sc=14 fw=15 tw=16863744 pres=206 vbl=458
FPSP 208 x10=298 sc=14 fw=15 tw=16863744 pres=207 vbl=460
FPSP 209 x10=298 sc=14 fw=15 tw=16863744 pres=208 vbl=462
FPSP 210 x10=298 sc=14 fw=15 tw=16863744 pres=209 vbl=464
FPSP 211 x10=298 sc=14 fw=15 tw=16863744 pres=210 vbl=466
FPSP 212 x10=298 sc=14 fw=15 tw=16863744 pres=211 vbl=469
FPSP 213 x10=289 sc=15 fw=15 tw=17398464 pres=212 vbl=471
