region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
536,740752,3361208,4.538,0,1065425,468229,836899,672897,119404,74980,16470,0,106910,1065419,0,0
1242,710122,3361208,4.733,0,1081863,449582,830744,606931,108328,75473,16470,0,95165,1178515,0,0
1295,623595,3361196,5.390,0,931015,429939,712148,627801,110871,74176,16470,0,87119,1302672,0,0
85,777081,3361158,4.325,0,1028767,560893,791455,591596,109456,78689,16668,0,88714,1123687,0,0
341,1028629,3361152,3.268,0,286123,541991,1233431,855465,149892,76591,20764,0,149164,333854,0,0
459,774776,3361144,4.338,0,1035601,501139,859100,625051,126725,87044,16470,0,110020,1035595,0,0
354,1036234,3361136,3.244,0,657125,797105,871012,634374,112798,80208,17782,0,97324,750533,0,0
452,701858,3361124,4.789,0,1052103,427233,820085,641215,129847,80757,16470,0,102392,1143125,0,0
493,751227,3361114,4.474,0,930647,460629,921042,705570,135990,75917,16470,0,112803,932693,0,0
133,744844,3361088,4.512,0,1038599,465183,839530,627077,106409,75063,16470,0,97929,1133427,0,0
154,917150,3361088,3.665,0,1011837,701015,787737,576783,96740,80548,16470,0,89964,1011831,0,0
771,955484,3361086,3.518,0,993123,722776,763258,592489,97680,78459,16470,0,96837,993117,0,0
905,665500,3361076,5.050,0,854667,452873,745380,641036,112549,74077,16470,0,91140,1227551,0,0
405,919458,3361072,3.655,0,669213,693165,816847,603032,108407,80903,17766,0,94254,946698,0,0
458,754777,3361062,4.453,0,1078061,489276,836998,615927,130235,86933,16470,0,107168,1078055,0,0
11,805462,3361040,4.173,0,785605,519252,886222,669536,118225,77021,16470,0,102678,971636,0,0
343,752102,3361034,4.469,0,1090943,484675,842763,638113,110012,73787,17642,0,103105,1090937,0,0
17,731972,3361028,4.592,0,1095857,480347,794595,602414,111457,76757,16470,0,91931,1187057,0,0
410,786550,3361014,4.273,0,867785,495649,947060,708533,134385,76982,17698,0,110750,869957,0,0
1180,706471,3361008,4.757,0,1110853,432430,795133,626137,116677,75633,16470,0,96843,1201685,0,0
411,773886,3361006,4.343,0,893795,476391,890260,675192,135350,76748,17718,0,104588,984759,0,0
768,936803,3360968,3.588,0,546475,701627,772476,592665,97666,78804,16470,0,97834,1003426,0,0
725,778762,3360954,4.316,0,864933,485051,896521,690177,127051,76592,16470,0,108698,960394,0,0
229,745843,3360952,4.506,0,1072345,457542,860903,621375,106177,76150,16470,0,102123,1120212,0,0
