-        6,820,491  33,157,028    392      3.90    17,399.2  ndsRendererLoadHardwareSplitMatrices
-        6,618,738  29,896,342    328      5.82    20,179.1  gcCaptureCameraGObj
-        6,132,171  29,643,300    120      9.87    51,101.4  ndsBaseGcRunAll
-        6,004,250  18,324,070  1,696      6.58     3,540.2  ndsParticleSetCurrentCamera
-        5,804,058  17,693,903    732      2.80     7,929.0  ndsBaseGcPlayMObjMatAnim
-        5,309,080  10,709,955  2,276     12.93     2,332.6  ndsBaseFTDisplayMainProcDisplay
-        4,858,922  30,678,696    388      4.72    12,523.0  ftDisplayMainDrawDefault
-        4,761,826  10,219,737  1,416      5.67     3,362.9  gmCameraUpdateInterests
-        4,735,947  19,341,719  2,544      6.80     1,861.6  ndsRendererAdapterPrepareNativeStageOwner
-        4,714,849  29,866,685    952      2.81     4,952.6  ndsRendererAdapterBuildPersistentStageWorldMatrix.constprop.0
-        4,627,546  15,715,738     68      2.16    68,052.1  ndsStageCollisionLoopGeometryReady
-        4,532,304  14,730,573  5,192     11.90       872.9  syTaskmanRunTask
-        4,484,341  21,221,407    376      7.26    11,926.4  ndsFTParamsInvalidateSubtree
-        4,276,392   8,957,771     86      2.97    49,725.5  __aeabi_lmul (+1 alias)

greedy pack claims 3,600 of 3,604 free bytes and reaches 33,003,554 non-mem stall cycles (0.87% of measured)

== D. ITCM admissions by non-mem stall per byte (584 B free now, +2,594 B recoverable by eviction) ==
slot   stall/byte  nonmem stall  bytes  cyc/insn  tier            symbol
-----  ----------  ------------  -----  --------  --------------  -------------------------------------------
free      124,990       249,980      2     41.11  .main           mpCommonUpdateFighterSlopeContour
free       90,019     2,160,464     24      3.38  .main           cpuGetTiming
free       68,052     4,627,546     68      2.16  .main           ndsStageCollisionLoopGeometryReady
free       67,030     1,474,671     22      2.49  .main           DynamicArrayGet
free       51,101     6,132,171    120      9.87  .main           ndsBaseGcRunAll
free       49,725     4,276,392     86      2.97  .main           __aeabi_lmul (+1 alias)
free       41,969     9,233,288    220      3.07  .main           sqrtf
free       38,096        76,191      2     47.89  .main           gcPrepCameraMatrix
evict      37,317     3,433,164     92      4.61  .main           tickGetCount
evict      36,554     2,924,308     80      2.68  .main           ndsBaseGcPlayAnimAll
evict      35,107     3,229,879     92      2.61  .main           ftGetStruct
evict      32,275     1,807,412     56      8.55  .main           ndsFighterDisplayContractCountFlags
free       32,042       384,500     12     41.60  .main           sySchedulerGetTicCount
evict      30,750     2,214,005     72      4.40  .main           ndsR2AnimBuildTrackTable.constprop.0.isra.0
evict      30,540     1,588,084     52      4.46  .main           glTexParameter
evict      28,995     4,639,216    160      5.13  .text.hot       gcRunGObjProcess
free       28,050       224,399      8     11.69  .main           ftCommonDeadCheckInterruptCommon
free       26,345       210,758      8     19.70  .main           mpProcessUpdateMain
evict      25,236       807,550     32      2.45  .main           glGetTexParameter
evict      24,517     1,372,963     56      2.90  .main           gcPlayMObjMatAnim
free       24,015        48,030      2      8.50  .main           lbCommonPrepSObjAttr
evict      23,883     2,197,274     92      8.36  .main           glBindTexture
evict      23,129    13,970,146    604      2.72  .text.hot       gcPlayDObjAnimJoint
evict      22,761    14,020,965    616      1.80  .text.hot.draw  ndsRendererMtxMulAffine20p12
evict      21,938       438,759     20     15.93  .main           grPupupuProcUpdate
evict      21,614     2,334,337    108      3.05  .main           ndsRendererAdapterMarkDisplayProcHeads
free       20,973       167,787      8     28.32  .main           mpProcessCheckTestFloorCollisionNew
evict      20,600       659,193     32      5.87  .main           __aeabi_idivmod
free       20,578        41,157      2     26.33  .main           func_80017CC8
evict      20,179     6,618,738    328      5.82  .main           gcCaptureCameraGObj

zero-eviction pack: 584 B, 29,307,334 non-mem stall cycles in reach
with eviction:      3,076 B, 91,563,327 non-mem stall cycles in reach
wrote D:\Stuff\DevFolder\Smash64DS_Port\artifacts\performance\2026-08-14_runtime2-p95-closure\v3-gate-arm\census.json
