region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
596,822448,3361192,4.087,0,949343,562411,835662,690604,112824,77549,16470,0,116335,949337,0,0
1392,964030,3361190,3.487,0,905671,564436,1026053,596798,95747,61983,16470,0,94038,905665,0,0
263,766693,3361188,4.384,0,699227,501838,812172,628710,104845,77513,16470,0,103656,1115984,0,0
531,1042654,3361176,3.224,0,731023,617536,1061831,641060,110546,79681,16470,0,103035,731017,0,0
1173,709901,3361176,4.735,0,963277,469684,860865,647367,122332,82296,16470,0,104021,1058141,0,0
114,828143,3361170,4.059,0,823819,555840,899630,668652,111988,78881,16470,0,108102,921607,0,0
1101,942366,3361168,3.567,0,998209,546888,989593,567254,90646,62170,16470,0,89944,998203,0,0
1447,1170382,3361166,2.872,0,73339,570668,1348658,827549,142672,79274,19602,0,161475,211268,0,0
1009,931590,3361164,3.608,0,950983,714727,792186,611525,93714,82497,16470,0,99068,950977,0,0
1495,1122957,3361156,2.993,0,479019,917053,821222,613728,90420,81474,16650,0,98049,722560,0,0
378,769633,3361150,4.367,0,815189,512622,928454,675143,127389,82455,16470,0,108268,910349,0,0
852,704981,3361144,4.768,0,1069559,441211,804592,602281,106832,78249,16470,0,98141,1213368,0,0
214,1306885,3361130,2.572,0,310925,861911,1167811,694870,113155,83228,16470,0,112766,310919,0,0
790,967669,3361118,3.473,0,646121,578035,1011620,726317,121970,80200,19644,0,129086,694246,0,0
747,1181286,3361098,2.845,0,182741,580639,1264112,799877,133707,76385,16470,0,169666,320242,0,0
111,740194,3361092,4.541,0,1042407,508318,822240,641276,102436,77946,16470,0,102000,1090406,0,0
1497,1112831,3361090,3.020,0,754709,902560,803726,612105,91952,81310,16470,0,98264,754703,0,0
994,685301,3361086,4.905,0,1072097,461098,773722,647379,115495,76397,16502,0,104080,1166413,0,0
34,906432,3361082,3.708,0,1104949,716115,709861,557467,86562,81154,16470,0,88510,1104943,0,0
188,1173471,3361082,2.864,0,449441,712729,1147674,710134,127795,79744,16470,0,117101,449435,0,0
1216,1228946,3361080,2.735,0,221801,620764,1291000,789445,127309,76854,16470,0,170962,268276,0,0
1500,1134135,3361080,2.964,0,438793,923898,821942,616209,91091,81580,16470,0,99072,710818,0,0
724,1055863,3361076,3.183,0,877105,853475,767807,581915,89465,82743,16470,0,92102,877099,0,0
723,1118555,3361074,3.005,0,674837,862491,848754,628234,98636,83102,16470,0,100529,722858,0,0
900,1103379,3361072,3.046,0,609941,666219,1100477,668836,109851,79526,16518,0,109710,609935,0,0
874,742518,3361066,4.527,0,1119223,522330,807280,617298,96437,79784,16470,0,100310,1121157,0,0
1008,990933,3361036,3.392,0,646273,760828,874900,675073,103977,82951,16470,0,106392,740445,0,0
512,703122,3361032,4.780,0,954527,468305,870470,647994,123494,82826,16470,0,102785,1048688,0,0
552,888647,3361032,3.782,0,757003,610897,923071,664892,104200,81647,16470,0,108600,851255,0,0
1116,984818,3361030,3.413,0,907471,584817,1013617,588528,94515,61122,16470,0,94496,907465,0,0
1509,766654,3361028,4.384,0,1044675,517836,821962,662635,104970,77096,16470,0,115390,1044669,0,0
643,909663,3361000,3.695,0,675551,523402,954659,551400,89599,61127,16470,0,86881,1077462,0,0
1502,1140564,3360994,2.947,0,515933,696590,1137921,690495,109557,80450,16470,0,113584,515927,0,0
1529,682775,3360992,4.923,0,1084561,463714,765599,615706,97123,77511,16470,0,99407,1225462,0,0
557,1121466,3360988,2.997,0,481505,830142,976947,705321,101330,83377,16470,0,117651,529750,0,0
1259,1064545,3360980,3.157,0,592215,602688,1075758,672559,124614,78938,16470,0,106284,683669,0,0
247,790794,3360978,4.250,0,1024915,549790,826930,655356,97207,77024,16470,0,113292,1024909,0,0
1265,743415,3360958,4.521,0,1051073,495594,819817,670682,115191,76314,16470,0,114021,1052869,0,0
269,859358,3360954,3.911,0,583743,579584,914445,681467,118556,80522,16470,0,106851,863059,0,0
884,726982,3360934,4.623,0,932501,505433,797130,636077,109564,77966,16470,0,98579,1119715,0,0
201,1006160,3360916,3.340,0,893605,585645,1013498,574917,103003,80889,16470,0,92895,893599,0,0
1347,1009614,3360910,3.329,0,795713,594631,1032761,634769,106139,78876,16470,0,101557,795707,0,0
1496,1103272,3360896,3.046,0,762157,901086,804644,609010,88952,81393,16470,0,97190,762151,0,0
356,720133,3360888,4.667,0,1030673,491197,798262,643080,111261,77092,16470,0,101539,1121987,0,0
419,710968,3360879,4.727,0,1091459,483688,817379,624276,100542,77306,16470,0,101442,1139771,0,0
1034,826490,3360860,4.066,0,604369,569482,810981,609034,97841,80464,16470,0,99470,1077118,0,0
438,752690,3360858,4.465,0,731461,493612,858395,680036,119161,78455,16470,0,104715,1010000,0,0
792,813594,3360854,4.131,0,1027255,562944,824718,638076,107747,79681,16470,0,103969,1027249,0,0
1530,1127728,3360852,2.980,0,548465,679119,1121971,684732,117332,79761,16470,0,113008,548459,0,0
33,873757,3360850,3.846,0,843031,686430,734196,617139,104517,81931,16518,0,86986,1033133,0,0
1025,893424,3360802,3.762,0,1099957,704023,722703,561194,87745,80838,16470,0,87878,1099951,0,0
476,784882,3360796,4.282,0,1019009,507058,837801,646278,97516,78506,16470,0,108947,1068220,0,0
779,716496,3360792,4.691,0,989131,495383,764657,625115,105715,77505,16470,0,99459,1176488,0,0
1057,1045819,3360788,3.214,0,814867,629423,1033790,583213,109052,81092,16470,0,92887,814861,0,0
1177,727196,3360780,4.622,0,1082577,483106,837465,643052,108377,82290,16470,0,107449,1082571,0,0
1032,852349,3360768,3.943,0,649509,585131,858211,701053,131091,80843,16470,0,106935,881034,0,0
1220,877977,3360732,3.828,0,815913,582924,912675,680867,107920,78011,16470,0,115389,866476,0,0
1541,880143,3360730,3.818,0,1087101,686996,731948,571336,96242,81865,16470,0,86508,1089365,0,0
