frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,gNdsFighterNaturalMotionFigatreeAttachCount,gNdsShieldAnimJointInstallCalls,gNdsR2FtAnimParseStepped,gNdsR2FtAnimParseEarlyOut,gNdsR2FtAnimRecipMisses,gNdsR2AnimCacheBytes,gNdsR2RelocAliasVisits,gNdsFTComputerStatusChangeCount,WRAPFIX
460,1117696,290496,176576,4352,2880,1088,265792,202752,173184,153856,963264,4928,1088,260416,704,1408,2176,148736,56192,640,962176,1247,0,7237,26119,0,112000,1385,0,0
461,1117120,291328,174784,4352,2624,1024,281536,208320,153728,133952,983744,4864,960,276096,832,1728,2304,107584,57408,640,982720,1247,0,7254,26176,0,112000,1385,0,0
462,1117696,292992,174464,4352,2752,1088,262912,131136,247936,228480,889152,4544,960,257472,832,1472,2112,121792,57408,832,888064,1247,0,7271,26233,0,112000,1385,0,0
463,1117632,293248,175616,4288,2624,1088,285760,136064,218368,199232,917824,4416,960,280576,1472,1280,2240,103552,58240,576,916736,1247,0,7299,26279,0,112000,1385,0,0
464,1117056,290176,176768,4224,2688,1088,373760,136832,132672,112768,1005440,4608,896,368256,8576,1472,1984,131008,56960,704,1004352,1265,0,7348,26322,0,112000,1472,0,0
465,1118208,293056,174336,4160,2560,960,323776,131008,187328,167552,949632,4608,960,318592,768,1472,1984,216256,58240,704,948672,1282,0,7395,26368,0,112000,1472,0,0
466,1117184,293248,175360,4352,2816,72384,248448,129408,191744,171456,946304,4800,960,243136,704,1280,2240,165312,59072,640,873920,1282,0,7395,26438,0,112000,1472,0,0
467,1117760,289984,175680,4288,2688,1024,247424,115776,280576,260928,856512,4672,896,241920,896,1344,2176,94528,56000,768,855488,1282,0,7395,26508,0,112000,1472,0,0
468,1117440,290624,173696,4288,128832,1088,250624,116672,151552,131968,985408,4736,896,245376,896,1472,1920,94784,56832,512,984320,1282,0,7395,26578,0,112000,1472,0,0
469,1117376,290944,173888,4288,2688,1088,248000,102080,294400,275520,841856,4544,960,242560,832,1408,2048,98304,58944,640,840768,1282,0,7397,26646,0,112000,1472,0,0
470,1117376,292800,174592,4288,2752,418688,370432,100928,313664,293632,1384512,4672,960,365312,1344,1408,2176,96448,57792,704,965824,1301,0,7434,26717,0,112000,1559,0,0
471,1678144,285248,174656,4224,2752,1088,657792,113408,438592,418816,1258944,189696,896,652352,1472,1408,2112,220224,57728,704,1257856,1301,0,7444,26779,0,112000,1559,0,0
472,1677760,285440,175232,4416,2880,1024,530624,104704,573120,553344,1124096,203648,960,525184,49536,1472,2112,276992,102592,704,1123072,1301,0,7452,26843,0,112000,1559,0,0
473,1677440,286528,173696,4288,2688,1088,520896,104960,23552,4224,1113472,209088,896,515648,1344,1408,2112,149504,88448,832,1112384,1301,0,7479,26888,0,112000,1559,0,0
474,1117696,284160,175168,4224,2816,1152,534016,95808,20672,896,1117120,190528,960,528640,29120,1408,2240,117184,107648,704,1115968,1301,0,7507,26932,0,112000,1559,0,0
475,1118016,286592,175744,4288,2752,1024,531904,95744,579392,559488,1117952,189184,960,526400,30912,1472,2240,146752,110080,704,1116928,1301,0,7526,26985,0,112000,1559,0,0
476,1677440,285312,174336,4224,4864,1024,495104,96192,56768,36608,1081216,161216,960,489600,28480,1472,2304,140096,115904,704,1080192,1301,0,7542,27041,0,112000,1559,0,0
477,1117824,287808,172672,4224,5120,1088,338944,96576,210944,191232,926144,7616,960,333568,28416,1472,2048,138048,108928,896,925056,1301,0,7556,27099,0,112000,1559,0,0
478,1117376,289408,175296,4288,3904,1088,343040,96256,203904,184576,932608,7680,896,337728,29056,1344,2240,134400,111552,704,931520,1301,0,7578,27149,0,112000,1559,0,0
479,1117184,288064,175104,4288,2752,1088,338944,95872,211840,192192,925760,7424,960,333568,29120,1344,2240,139648,109376,768,924672,1301,0,7591,27208,0,112000,1559,0,0
480,1117952,288832,173568,4160,4864,1024,433344,84288,127296,107648,1009728,7424,896,427712,54080,1408,2176,135296,110400,640,1008704,1318,0,7621,27284,0,112000,1559,0,0
481,1117376,286016,174208,4352,4928,1088,372032,84224,190592,170752,946688,7808,896,366784,67136,1600,2176,232448,108544,576,945600,1318,0,7628,27349,0,112000,1559,0,0
482,1117440,291392,175296,4160,3840,960,338368,84800,218688,198912,918592,4608,1024,332928,67584,1408,2112,170752,109056,704,917632,1318,0,7640,27409,0,112000,1559,0,0
483,1117504,290496,172736,4288,2624,414784,346880,84864,361600,341184,1337088,4544,1024,341760,71616,1408,2240,172224,77760,768,922304,1318,0,7657,27464,0,112000,1559,0,0
484,1678272,291200,173440,4352,2560,1024,343872,83968,216768,196480,920704,4544,896,338496,70848,1344,2048,179200,79104,704,919680,1318,0,7671,27522,0,112000,1559,0,0
485,1117184,294208,172864,4224,2560,1024,346752,84544,211520,191680,926016,4672,1024,341376,71168,1408,2048,176704,78528,704,924992,1318,0,7688,27577,0,112000,1559,0,0
486,1117696,289856,174464,4224,2560,1024,348992,83968,212480,192512,925056,4416,960,343488,71040,1280,2112,177216,79936,768,924032,1318,0,7704,27633,0,112000,1559,0,0
487,1117568,290944,172416,4288,2688,1088,346112,84864,214976,195328,922048,4736,1024,340864,67008,1536,2112,179072,81408,576,920960,1318,0,7727,27682,0,112000,1559,0,0
488,1117376,291776,174592,4224,128576,1088,361792,83392,72192,52096,1065536,4480,896,356288,83904,1280,2048,177856,79808,704,1064448,1318,0,7745,27736,0,112000,1559,0,0
489,1117632,291200,174208,4288,2688,1024,378176,84224,181760,161920,955648,4352,896,372864,104320,1472,2112,189888,82944,704,954624,1318,0,7763,27790,0,112000,1559,0,0
490,1117568,289472,174400,4224,2560,1024,446976,84352,114432,94336,1023104,4544,960,441408,105920,1344,2176,211264,79040,640,1022080,1333,0,7801,27835,0,112000,1646,0,0
491,1117440,289536,173760,4288,2624,1088,364096,84928,197312,177280,940352,4672,896,358912,104832,1216,2112,278656,79488,704,939264,1333,0,7807,27893,0,112000,1646,0,0
492,1117632,288576,175040,4288,2688,1024,516288,95808,33664,14016,1103360,4544,1024,510720,105664,1216,2112,195712,78848,768,1102336,1350,0,7835,27946,0,112000,1733,0,0
493,1117376,292736,173504,4224,5248,1088,364480,104320,171968,152000,965568,4864,1024,359168,122048,1472,2112,197952,229632,576,964480,1350,0,7838,28011,0,112000,1733,0,0
494,1117568,289664,175616,4224,4864,1088,368512,103872,169728,150464,967104,4480,960,362944,121728,1280,2048,214400,55872,768,966016,1350,0,7844,28073,0,112000,1733,0,0
495,1117568,291328,173952,4288,3776,1088,363840,103808,175808,155968,961920,4800,960,358400,121408,1344,2112,218688,57536,832,960832,1350,0,7849,28136,0,112000,1733,0,0
496,1117888,291328,175424,4352,2688,71552,364736,106368,101440,80896,1036992,4800,960,359424,120896,1408,2112,215104,56064,576,965440,1350,0,7855,28198,0,112000,1733,0,0
497,1117888,289792,174784,4288,4736,1024,366464,105088,170816,150848,966144,4928,960,361024,120704,1216,2176,215424,57536,768,965120,1350,0,7863,28258,0,112000,1733,0,0
498,1116992,290944,175104,4352,4928,415360,370880,104256,312448,291456,1386816,4736,896,365376,120896,1408,2304,215616,58048,832,971456,1350,0,7877,28312,0,112000,1733,0,0
499,1678272,290112,175552,4224,3072,1088,367168,103488,172736,152512,964928,4800,1024,361920,121664,1216,2176,220992,57792,576,963840,1350,0,7886,28371,0,112000,1733,0,0
500,1117440,290240,174656,4352,1408,1088,367680,102976,175040,155392,962048,4672,1024,362240,122112,1216,2176,217664,57472,704,960960,1350,0,7893,28432,0,112000,1733,0,0
501,1117440,291968,173824,4224,1536,1088,364160,105280,175424,155520,961984,4544,960,358592,121856,1472,2240,219840,55808,640,960896,1350,0,7897,28496,0,112000,1733,0,0
502,1117504,292096,173056,4288,1472,1088,371136,104128,170496,150464,967296,4480,1024,365824,129216,1408,2048,215616,57216,640,966208,1350,0,7902,28559,0,112000,1733,0,0
503,1117760,289024,173312,4224,1472,1024,377344,104256,166528,146816,970368,4736,1024,371840,128064,1280,1984,224064,55744,576,969344,1350,0,7916,28613,0,112000,1733,0,0
504,1117184,293824,174464,4288,1472,1088,368832,103744,170176,150400,967488,4864,960,363328,124288,1344,2112,228672,57280,576,966400,1350,0,7921,28676,0,112000,1733,0,0
505,1117888,293184,172800,4352,1408,1024,537664,103168,563904,544000,1133504,4608,960,532160,98240,1408,2304,218560,58112,576,1132480,1386,0,7986,28734,0,112000,1907,0,0
506,1677504,292608,177408,4288,1536,1024,351552,103872,185024,165504,951808,4672,1024,346112,95488,1408,2112,388480,57600,640,950784,1386,0,8002,28788,0,112000,1907,0,0
507,1117312,289856,173056,4288,1472,1088,319040,84928,244032,224192,893568,4800,1024,313472,67904,1280,2048,202368,57280,832,892480,1386,0,8012,28848,0,112000,1907,0,0
508,1117760,289216,172672,4288,1472,1088,470528,84224,94080,74624,1042944,4672,960,465152,127232,1280,2240,170752,56000,576,1041856,1404,0,8067,28881,0,112000,1994,0,0
509,1117568,291776,173952,4160,126208,1024,307392,84160,128576,108672,1008576,4608,960,301888,35520,1344,1984,324864,56960,768,1007552,1404,0,8094,28924,0,112000,1994,0,0
510,1117248,292224,172608,4352,1536,1024,271744,84160,290048,270848,846848,4672,1024,266240,34048,1536,2240,155968,58176,768,845824,1404,0,8094,28994,0,112000,1994,0,0
511,1117696,291776,173120,4224,1472,1088,273088,84416,288384,269120,848448,4928,960,267648,34496,1472,2048,125888,57024,896,847360,1404,0,8094,29064,0,112000,1994,0,0
512,1117568,288128,174720,4224,1472,1024,275840,84736,287104,267712,849536,4800,1024,270464,34688,1472,2240,127296,56896,512,848512,1404,0,8096,29132,0,112000,1994,0,0
513,1117248,289408,175040,4224,1472,414400,279232,83840,430912,410752,1267776,4992,960,273984,35136,1472,2112,130240,57088,576,853376,1404,0,8098,29200,0,112000,1994,0,0
514,1678528,292608,171456,4288,1408,1024,337856,82496,226432,206080,911488,4608,896,332608,36352,1344,2240,131264,58304,704,910464,1421,0,8120,29265,0,112000,1994,0,0
515,1117568,290560,173888,4224,1472,960,354752,85376,206080,186048,931264,4736,960,349440,34176,1344,1984,191680,57600,768,930304,1441,0,8140,29358,0,112000,1994,0,0
516,1117312,288640,175680,4224,1472,1088,286016,84928,275328,255616,861760,4800,960,280640,34048,1280,2112,207552,58112,640,860672,1441,0,8153,29421,0,112000,1994,0,0
517,1117376,289152,173504,4288,1472,1088,351616,84352,212416,192704,925184,4608,1024,345984,35072,1536,2176,139712,57024,768,924096,1461,0,8188,29482,0,112000,1994,0,0
518,1117888,291968,173504,4288,1408,1024,391616,84096,169664,149824,967744,4352,960,386304,37376,1280,1984,205888,57344,640,966720,1479,0,8223,29559,0,112000,2081,0,0
519,1117568,294400,174208,4224,2752,1088,584576,104704,511680,492288,1185344,4480,896,579328,36928,1216,2176,245056,57792,640,1184256,1515,0,8270,29622,0,112000,2168,0,0
520,1677632,285504,175360,4288,2880,1024,643392,109632,455616,435840,1241856,4480,960,638016,84352,1408,2112,404800,86912,768,1240832,1531,0,8303,29677,0,112000,2257,0,0
521,1677696,289728,175680,4352,2688,960,336256,116096,192064,172288,945536,4736,960,330752,53696,1408,2176,455232,96576,704,944576,1531,0,8312,29738,0,112000,2257,0,0
522,1117824,326784,175232,4288,2688,1024,437504,116864,53120,32832,1084672,4352,960,432128,76800,1344,2112,145600,93696,704,1083648,1551,0,8345,29816,0,112000,2257,0,0
523,1117504,315008,174784,4224,2688,1024,373632,116224,129536,110080,1007040,4544,960,368320,93824,1344,2048,250688,93440,576,1006016,1551,0,8354,29879,0,112000,2257,0,0
524,1117120,314688,174400,4288,2752,1088,395456,115392,109824,90048,1027840,4224,1024,390144,112384,1408,2240,186624,93248,768,1026752,1551,0,8361,29944,0,112000,2257,0,0
525,1117888,315840,174720,4288,2816,1024,390848,114752,113408,93760,1023936,4480,896,385472,111744,1344,2048,206336,95168,704,1022912,1551,0,8368,30009,0,112000,2257,0,0
526,1117696,316864,176384,4224,2752,72128,394752,119424,30912,10944,1106496,4480,1024,389376,115136,1152,2112,205056,91648,832,1034368,1551,0,8381,30068,0,112000,2257,0,0
527,1117440,318144,175104,4288,2624,419072,393728,116096,248960,228352,1449664,4736,960,388160,113536,1472,2112,210944,90688,704,1030592,1551,0,8394,30127,0,112000,2257,0,0
528,1678016,316928,176448,4288,2816,1088,395840,115264,104448,84736,1032384,4352,1024,390464,114240,1408,2048,209280,90368,640,1031296,1551,0,8408,30185,0,112000,2257,0,0
529,1117120,317504,177856,4224,128256,1088,651456,147264,249984,229888,1447744,7488,1024,645760,114944,1280,2112,210816,91200,768,1446656,1551,0,8430,30235,0,112000,2257,0,0
530,1677632,315136,175296,4288,2816,960,434112,144064,41216,21184,1096704,7424,960,428864,116416,1472,2048,410944,101568,832,1095744,1551,0,8437,30300,0,112000,2257,0,0
531,1117888,317376,175296,4288,5184,1024,410304,138176,65728,45696,1071680,7296,960,404736,89856,1536,2304,209088,91712,640,1070656,1551,0,8449,30360,0,112000,2257,0,0
532,1117376,316544,175552,4224,4864,1088,395712,137344,82240,62592,1054976,6912,1024,390144,68032,1472,2048,186688,90496,704,1053888,1551,0,8464,30417,0,112000,2257,0,0
533,1117568,320384,174080,4224,3968,1024,392448,126336,95232,75008,1042688,7360,960,386816,70784,1472,2048,166208,98112,640,1041664,1551,0,8476,30477,0,112000,2257,0,0
534,1117696,318208,176128,4288,2560,1024,381952,121216,112064,92416,1025024,6848,1024,376704,66944,1408,2240,167424,90624,640,1024000,1551,0,8482,30543,0,112000,2257,0,0
535,1117440,316096,174016,4224,2624,1024,382400,107904,129600,109696,1008192,7232,1024,377088,64640,1536,2048,160768,90880,640,1007168,1551,0,8494,30603,0,112000,2257,0,0
536,1117888,318848,175552,4352,4992,1088,380416,108288,124416,104384,1013568,6848,1024,374912,64448,1216,2048,161216,90112,640,1012480,1551,0,8509,30660,0,112000,2257,0,0
537,1117952,319360,178624,4160,4992,1152,403712,106432,98944,78976,1038400,7296,896,398336,65600,1664,1920,161600,91008,768,1037248,1551,0,8524,30717,0,112000,2257,0,0
538,1117376,317952,179072,4352,2624,1088,392704,107008,112576,92736,1024640,6784,1024,387264,65344,1408,2048,165632,89472,704,1023552,1551,0,8534,30779,0,112000,2257,0,0
539,1117376,290176,180416,4224,2816,1088,500672,116096,22144,2112,1115520,7104,960,495296,64128,1472,2112,162624,90624,704,1114432,1571,0,8565,30840,0,112000,2257,0,0
540,1117632,291328,181504,4224,5056,960,354368,116736,163392,143424,974144,7296,1024,348992,31168,1344,2112,161216,193856,704,973184,1571,0,8587,30890,0,112000,2257,0,0
541,1117568,289856,182464,4288,5056,417600,433216,115008,230720,210112,1468096,7360,960,427712,30976,1408,2240,132608,76928,704,1050496,1591,0,8621,30968,0,112000,2257,0,0
542,1678208,290176,183232,4288,3840,1024,352832,115456,166272,146240,970880,7424,1024,347200,30912,1600,2176,209792,77504,640,969856,1591,0,8635,31026,0,112000,2257,0,0
543,1117120,288704,181376,4288,2624,1024,354560,106304,178624,158784,958720,7104,1024,348992,30784,1472,2176,129984,77376,704,957696,1591,0,8650,31083,0,112000,2257,0,0
544,1117504,290304,175616,4224,2752,1024,336256,106240,201088,181248,936256,7488,960,330880,30592,1408,2240,130688,77056,768,935232,1591,0,8663,31142,0,112000,2257,0,0
545,1117504,291584,176000,4288,2688,1024,342272,106496,193408,173184,944576,7168,1024,336960,30848,1600,1984,129344,77568,768,943552,1591,0,8684,31193,0,112000,2257,0,0
546,1117760,287680,173632,4224,2688,1024,470336,105088,72640,52928,1064384,6976,1024,464832,30784,1536,2240,135296,77120,640,1063360,1625,0,8750,31250,0,112000,2257,0,0
547,1117312,289792,173248,4352,2624,1024,384576,95232,166720,146880,970688,7104,1024,379200,30784,1344,2048,262592,77440,576,969664,1642,0,8770,31313,0,112000,2257,0,0
548,1117568,292352,182720,4224,2752,1024,418304,93824,122304,102720,1014784,7232,1024,412800,31936,1408,2112,177088,77952,576,1013760,1662,0,8796,31376,0,112000,2257,0,0
549,1117504,287936,181952,4352,2688,1088,548928,108096,542848,522944,1154944,7360,1024,543488,76992,1344,2112,186624,76800,704,1153856,1681,0,8835,31428,0,112000,2257,0,0
550,1677888,288192,181952,4224,130304,1024,400512,112704,558848,538496,1139264,7104,1024,395136,66880,1472,2112,314944,92224,768,1138240,1681,0,8840,31493,0,112000,2257,0,0
551,1677760,288448,179712,4352,2880,1088,405248,114688,121344,101312,1016448,7424,1088,399680,72768,1472,2176,159872,94976,576,1015360,1681,0,8851,31552,0,112000,2257,0,0
552,1117760,288320,182016,4288,2816,1024,659328,120768,418816,399232,1278144,6912,960,653696,79744,1472,2112,167680,93504,576,1277120,1700,0,8881,31611,0,112000,2257,0,0
553,1677376,288512,181760,4288,2880,1024,428800,120704,89408,70016,1047360,6784,1024,423104,82560,1344,2048,405760,108224,960,1046336,1700,0,8906,31656,0,112000,2257,0,0
554,1117376,288576,183424,4224,3904,420096,416000,121664,240320,219712,1458496,7040,1088,410432,77696,1344,2112,187072,97920,832,1038400,1700,0,8926,31706,0,112000,2257,0,0
555,1678208,288832,175168,4224,4864,1088,414528,128704,99968,80128,1037248,7104,960,409088,76608,1408,2048,178432,98240,768,1036160,1700,0,8936,31766,0,112000,2257,0,0
556,1117376,292800,175040,4224,4032,70976,404864,129728,36416,16000,1102080,6912,1088,399424,76032,1344,2048,174592,105728,896,1031104,1700,0,8954,31818,0,112000,2257,0,0
557,1118080,290112,175616,4352,2688,1152,399680,128128,115264,95424,1021568,6976,960,394304,74944,1408,1984,176320,95936,640,1020416,1700,0,8964,31878,0,112000,2257,0,0
558,1116992,287488,176832,4352,2624,1024,392704,125760,126528,107136,1010176,7424,960,387200,74688,1472,2048,170432,96704,768,1009152,1700,0,8966,31946,0,112000,2257,0,0
559,1117312,288512,175232,4224,4032,1024,398144,127488,119232,99072,1018816,7232,1024,392512,75392,1728,2176,165184,95168,768,1017792,1700,0,8968,32014,0,112000,2257,0,0
560,1117888,290432,175040,4288,5312,1088,389760,121536,130048,110400,1007104,6656,1024,384448,74048,1664,2112,164224,102016,832,1006016,1700,0,8972,32080,0,112000,2257,0,0
561,1117504,289152,175680,4288,5504,1088,379200,110336,152256,132608,984896,5760,960,373632,76608,1280,2048,166464,91904,704,983808,1700,0,8974,32148,0,112000,2257,0,0
562,1117504,289280,175616,4224,4736,1088,347136,110784,184640,164800,952704,4608,1024,341824,67136,1280,2112,166016,97792,640,951616,1700,0,8982,32210,0,112000,2257,0,0
563,1117504,289728,175936,4224,3328,1088,348224,102976,192256,172096,945664,4416,896,342720,67136,1216,2176,161088,93504,576,944576,1700,0,8992,32270,0,112000,2257,0,0
564,1117760,289984,172928,4352,1408,1088,347008,84608,216064,196480,920960,4544,960,341568,66432,1536,1984,161536,93248,896,919872,1700,0,9000,32332,0,112000,2257,0,0
565,1117440,287488,172544,4288,1408,1088,340992,83840,225920,206336,911232,4352,1024,335488,65856,1280,2176,161344,92608,768,910144,1700,0,9010,32392,0,112000,2257,0,0
566,1117568,289280,173312,4288,1536,1088,341248,84096,222656,202624,914880,4352,960,335872,67072,1280,2176,160576,92288,640,913792,1700,0,9016,32456,0,112000,2257,0,0
567,1117504,289152,175616,4224,2112,960,469248,97024,79040,59072,1058304,4224,1024,463744,70784,1344,2048,159936,93696,576,1057344,1717,0,9048,32511,0,112000,2352,0,0
568,1117376,291584,176832,4288,4928,1024,337984,96640,204160,184512,932928,4736,960,332352,70976,1344,2176,169152,210880,768,931904,1717,0,9061,32570,0,112000,2352,0,0
569,1117440,291648,173952,4416,4992,414080,434752,98048,256576,236288,1442176,4864,896,429440,72704,1728,2176,169856,76288,640,1028096,1734,0,9086,32651,0,112000,2447,0,0
570,1678464,291648,174592,4288,127488,1024,341696,97600,79040,58560,1058816,4864,960,336192,71232,1408,2176,267264,75392,640,1057792,1734,0,9091,32718,0,112000,2447,0,0
571,1117376,292352,173696,4160,1408,1024,337920,97664,209280,189376,928128,4416,960,332672,72512,1600,2176,170560,75136,704,927104,1734,0,9095,32786,0,112000,2447,0,0
572,1117504,290368,174400,4288,1408,1088,342784,97088,205824,186368,930880,4544,1024,337344,72896,1472,2112,170624,75584,704,929792,1734,0,9112,32841,0,112000,2447,0,0
573,1117248,293504,172736,4224,1472,1024,336768,97472,210624,190784,927040,4544,960,331328,72512,1280,2176,175552,75712,640,926016,1734,0,9118,32907,0,112000,2447,0,0
574,1117824,293760,174336,4288,1472,1024,346368,97216,198656,179072,938048,4672,896,341184,72448,1216,1984,170240,76224,640,937024,1734,0,9135,32962,0,112000,2447,0,0
575,1117120,291840,174336,4352,1472,1088,340032,84224,220352,200576,917120,4736,960,334336,70592,1408,2048,177344,78208,704,916032,1734,0,9146,33023,0,112000,2447,0,0
576,1117696,291968,172992,4288,1472,1024,346368,84864,214720,195072,922624,4480,1024,340864,71296,1408,2048,171136,76800,768,921600,1734,0,9161,33080,0,112000,2447,0,0
577,1117696,290432,174848,4224,1472,1024,405632,83904,156288,136192,981632,4352,960,400192,75200,1216,2176,178176,79744,832,980608,1752,0,9215,33116,0,112000,2447,0,0
578,1117824,290752,173888,4288,1408,1024,344448,84864,216576,196608,920640,4480,960,338944,78784,1536,2048,238336,78976,768,919616,1752,0,9225,33176,0,112000,2447,0,0
579,1117248,290432,175936,4352,2112,1024,439232,97664,106752,86912,1030592,4864,1024,433984,80064,1536,2176,178240,77696,832,1029568,1772,0,9255,33236,0,112000,2447,0,0
580,1117504,290432,175616,4288,4992,1024,315456,97984,227712,208000,909504,4608,960,310016,58304,1280,2048,182080,167680,832,908480,1772,0,9274,33291,0,112000,2447,0,0
581,1117504,291136,173568,4288,4928,1024,373568,97728,171072,151296,966016,4672,1024,368128,34688,1472,2112,166208,57792,512,964992,1792,0,9315,33364,0,112000,2447,0,0
582,1117312,290752,175424,4224,3328,1024,285824,98624,258624,238912,878912,4672,896,280384,34944,1536,2048,223296,58240,704,877888,1792,0,9326,33427,0,112000,2447,0,0
583,1117824,290048,173888,4224,1472,1088,295488,98304,253184,233152,884544,4480,1024,289920,34816,1472,2048,136896,57600,576,883456,1792,0,9354,33473,0,112000,2447,0,0
584,1117696,290944,173568,4288,1536,416000,297600,97728,396224,375616,1302272,4672,960,292224,34816,1344,2112,146688,57344,512,886272,1792,0,9379,33522,0,112000,2447,0,0
585,1677888,290560,173888,4224,1408,1024,323584,96704,225664,205952,911104,4480,896,318208,63936,1280,2112,147904,58240,576,910080,1792,0,9400,33575,0,112000,2447,0,0
586,1117056,290944,175168,4288,1472,71168,260160,101120,213824,193344,924800,4864,1024,254656,896,1472,2112,173312,58496,704,853632,1792,0,9425,33624,0,112000,2447,0,0
587,1118144,292032,174080,4288,1472,1088,377280,83648,183232,163584,953536,4736,960,371712,832,1280,2112,110400,58752,832,952448,1827,0,9481,33693,0,112000,2447,0,0
588,1117120,289216,173248,4352,1408,1216,239104,84480,324352,304256,813120,4928,960,233664,832,1408,2112,227776,57536,832,811904,1827,0,9485,33759,0,112000,2447,0,0
589,1117376,291008,174336,4352,1472,1024,387584,84800,172864,152960,964480,4608,960,382144,2240,1280,2112,93760,56960,704,963456,1864,0,9538,33832,0,112000,2447,0,0
590,1117440,291840,175680,4288,1408,1024,282496,83392,277568,257344,860352,4736,960,277120,22912,1408,2240,239168,59328,768,859328,1864,0,9567,33877,0,112000,2447,0,0
