pc,whole_instructions,whole_total_cycles,whole_issue,whole_icache_fill,whole_dcache_fill,whole_write_buffer,whole_bus_contention,whole_dma_hold,whole_interlock,whole_halt_wait,sitr25_instructions,sitr25_total_cycles,sitr25_issue,sitr25_icache_fill,sitr25_dcache_fill,sitr25_write_buffer,sitr25_bus_contention,sitr25_dma_hold,sitr25_interlock,sitr25_halt_wait,event288_instructions,event288_total_cycles,event288_issue,event288_icache_fill,event288_dcache_fill,event288_write_buffer,event288_bus_contention,event288_dma_hold,event288_interlock,event288_halt_wait,quiet_instructions,quiet_total_cycles,quiet_issue,quiet_icache_fill,quiet_dcache_fill,quiet_write_buffer,quiet_bus_contention,quiet_dma_hold,quiet_interlock,quiet_halt_wait,card_instructions,card_total_cycles,card_issue,card_icache_fill,card_dcache_fill,card_write_buffer,card_bus_contention,card_dma_hold,card_interlock,card_halt_wait
0x0202b9d8,1600,39034,0,37434,0,0,0,0,1600,0,25,675,0,650,0,0,0,0,25,0,288,7158,0,6870,0,0,0,0,288,0,772,18514,0,17742,0,0,0,0,772,0,7,153,0,146,0,0,0,0,7,0
0x020ad5f6,6400,43150,386,0,0,42764,0,0,0,0,100,770,6,0,0,764,0,0,0,0,1152,7533,71,0,0,7462,0,0,0,0,3088,21215,198,0,0,21017,0,0,0,0,28,254,3,0,0,251,0,0,0,0
0x020ae134,526,11899,0,11899,0,0,0,0,0,0,6,99,0,99,0,0,0,0,0,0,72,1536,0,1536,0,0,0,0,0,0,154,3643,0,3643,0,0,0,0,0,0,4,66,0,66,0,0,0,0,0,0
0x0209e828,15,515,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,515,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x020ac3e0,287,7773,0,7773,0,0,0,0,0,0,3,90,0,90,0,0,0,0,0,0,43,1155,0,1155,0,0,0,0,0,0,74,2058,0,2058,0,0,0,0,0,0,2,60,0,60,0,0,0,0,0,0
0x020ac440,287,7479,0,7479,0,0,0,0,0,0,3,90,0,90,0,0,0,0,0,0,43,1155,0,1155,0,0,0,0,0,0,74,2031,0,2031,0,0,0,0,0,0,2,60,0,60,0,0,0,0,0,0
0x020aa87c,32,932,0,926,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,473,0,470,0,3,0,0,0,0,12,342,0,339,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02056dfc,655,11385,0,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1316,0,1316,0,0,0,0,0,0,359,6246,0,6246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02021044,4963,13075,-40,8152,4963,0,0,0,0,0,95,357,0,262,95,0,0,0,0,0,910,2320,-6,1416,910,0,0,0,0,0,2408,6265,-22,3879,2408,0,0,0,0,0,20,86,0,66,20,0,0,0,0,0
0x0201179c,19200,61542,-19432,8232,70750,1992,0,0,0,0,300,949,-304,129,1100,24,0,0,0,0,3456,11162,-3494,1478,12762,416,0,0,0,0,9264,29544,-9384,3980,34108,840,0,0,0,0,84,263,-85,36,308,4,0,0,0,0
0x020adec6,3060,4756,-270,0,4930,96,0,0,0,0,47,75,-5,0,80,0,0,0,0,0,430,790,-60,0,838,12,0,0,0,0,700,1100,-65,0,1145,20,0,0,0,0,31,59,-5,0,64,0,0,0,0,0
0x0205b3ca,8,395,8,387,0,0,0,0,0,0,2,94,2,92,0,0,0,0,0,0,5,255,5,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0205bd5c,7,315,0,315,0,0,0,0,0,0,6,298,0,298,0,0,0,0,0,0,7,315,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,315,0,315,0,0,0,0,0,0
0x0208af7c,2,126,58,68,0,0,0,0,0,0,2,126,58,68,0,0,0,0,0,0,2,126,58,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,126,58,68,0,0,0,0,0,0
0x020b609c,1789,3076,-104,3083,0,97,0,0,0,0,285,518,-21,519,0,20,0,0,0,0,925,1693,-69,1696,0,66,0,0,0,0,343,535,-4,538,0,1,0,0,0,0,171,305,-11,306,0,10,0,0,0,0
0x020b60a0,1789,3072,-225,3078,0,219,0,0,0,0,285,516,-35,516,0,35,0,0,0,0,925,1689,-125,1691,0,123,0,0,0,0,343,535,-34,537,0,32,0,0,0,0,171,304,-15,304,0,15,0,0,0,0
0x020b60b4,1789,1993,-15,219,1789,0,0,0,0,0,285,387,-3,105,285,0,0,0,0,0,925,1129,-8,212,925,0,0,0,0,0,343,343,-2,2,343,0,0,0,0,0,171,239,-1,69,171,0,0,0,0,0
0x01ff8dc8,52800,52830,52823,0,0,7,0,0,0,0,825,825,825,0,0,0,0,0,0,0,9504,9504,9500,0,0,4,0,0,0,0,25476,25476,25475,0,0,1,0,0,0,0,231,231,231,0,0,0,0,0,0,0
0x020ac900,4,94,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x020ac92e,4,120,0,0,116,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02017888,9600,32333,0,32333,0,0,0,0,0,0,150,520,0,520,0,0,0,0,0,0,1728,5509,0,5509,0,0,0,0,0,0,4632,15669,0,15669,0,0,0,0,0,0,42,134,0,134,0,0,0,0,0,0
0x020036e4,43200,72624,0,72624,0,0,0,0,0,0,675,1107,0,1107,0,0,0,0,0,0,7776,13020,0,13020,0,0,0,0,0,0,20844,35070,0,35070,0,0,0,0,0,0,189,318,0,318,0,0,0,0,0,0
0x020036e8,43200,72624,0,72624,0,0,0,0,0,0,675,1107,0,1107,0,0,0,0,0,0,7776,13020,0,13020,0,0,0,0,0,0,20844,35070,0,35070,0,0,0,0,0,0,189,318,0,318,0,0,0,0,0,0
0x020036ec,43200,72624,0,72624,0,0,0,0,0,0,675,1107,0,1107,0,0,0,0,0,0,7776,13020,0,13020,0,0,0,0,0,0,20844,35070,0,35070,0,0,0,0,0,0,189,318,0,318,0,0,0,0,0,0
0x020036f0,43200,72624,0,72624,0,0,0,0,0,0,675,1107,0,1107,0,0,0,0,0,0,7776,13020,0,13020,0,0,0,0,0,0,20844,35070,0,35070,0,0,0,0,0,0,189,318,0,318,0,0,0,0,0,0
0x020036f4,43200,72624,0,72624,0,0,0,0,0,0,675,1107,0,1107,0,0,0,0,0,0,7776,13020,0,13020,0,0,0,0,0,0,20844,35070,0,35070,0,0,0,0,0,0,189,318,0,318,0,0,0,0,0,0
0x020a761a,45,673,-60,0,721,12,0,0,0,0,6,116,-10,0,122,4,0,0,0,0,18,427,-40,0,459,8,0,0,0,0,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
