f_read (fp=0x224f86c, buff=<optimized out>, btr=<optimized out>, br=<optimized out>) at /home/davem/projects/devkitpro/pacman-packages/libfat/src/libdvm-2.1.0/fatfs/source/ff.c:3906
warning: 3906	/home/davem/projects/devkitpro/pacman-packages/libfat/src/libdvm-2.1.0/fatfs/source/ff.c: No such file or directory
warning: could not convert '$n' from the host encoding (CP1252) to UTF-32.
This normally should not happen, please file a bug report.
PCAD build=build-c205-camtoggle route=gNdsR2CameraFixedEnabled initial=0 perframe=1 flips=400/401
Temporary breakpoint 1 at 0x20804b4: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
Breakpoint 2 at 0x2050064: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4646.
PCADFLIP 1 -> 0
PCADHIST INIT n=1 2=0 3=0 4=0 5=1 max=26 min=26 viol=0 vbl=26 pres=1 tk=14047168
PCADF 65 vbl=232 pres=65 tk=129445440 rt=0 fx=0 fl=130 px=0 pl=130
PCADF 66 vbl=234 pres=66 tk=130565824 rt=0 fx=0 fl=132 px=0 pl=132
PCADF 67 vbl=236 pres=67 tk=131686208 rt=0 fx=0 fl=134 px=0 pl=134
PCADF 68 vbl=238 pres=68 tk=132806400 rt=0 fx=0 fl=136 px=0 pl=136
PCADF 69 vbl=240 pres=69 tk=133926912 rt=0 fx=0 fl=138 px=0 pl=138
PCADF 70 vbl=242 pres=70 tk=135047296 rt=0 fx=0 fl=140 px=0 pl=140
PCADF 71 vbl=244 pres=71 tk=136167936 rt=0 fx=0 fl=142 px=0 pl=142
PCADF 72 vbl=246 pres=72 tk=137288128 rt=0 fx=0 fl=144 px=0 pl=144
PCADF 73 vbl=248 pres=73 tk=138408640 rt=0 fx=0 fl=146 px=0 pl=146
PCADF 74 vbl=250 pres=74 tk=139528640 rt=0 fx=0 fl=148 px=0 pl=148
PCADF 75 vbl=252 pres=75 tk=140649152 rt=0 fx=0 fl=150 px=0 pl=150
PCADF 76 vbl=254 pres=76 tk=141769536 rt=0 fx=0 fl=152 px=0 pl=152
PCADF 77 vbl=256 pres=77 tk=142889920 rt=0 fx=0 fl=154 px=0 pl=154
PCADF 78 vbl=258 pres=78 tk=144010432 rt=0 fx=0 fl=156 px=0 pl=156
PCADF 79 vbl=260 pres=79 tk=145130752 rt=0 fx=0 fl=158 px=0 pl=158
PCADF 80 vbl=262 pres=80 tk=146251008 rt=0 fx=0 fl=160 px=0 pl=160
PCADF 81 vbl=264 pres=81 tk=147371456 rt=0 fx=0 fl=162 px=0 pl=162
PCADF 82 vbl=266 pres=82 tk=148491584 rt=0 fx=0 fl=164 px=0 pl=164
PCADF 83 vbl=268 pres=83 tk=149611904 rt=0 fx=0 fl=166 px=0 pl=166
PCADF 84 vbl=270 pres=84 tk=150732544 rt=0 fx=0 fl=168 px=0 pl=168
PCADF 85 vbl=272 pres=85 tk=151853120 rt=0 fx=0 fl=170 px=0 pl=170
PCADF 86 vbl=274 pres=86 tk=152973312 rt=0 fx=0 fl=172 px=0 pl=172
PCADF 87 vbl=276 pres=87 tk=154093760 rt=0 fx=0 fl=174 px=0 pl=174
PCADF 88 vbl=278 pres=88 tk=155214016 rt=0 fx=0 fl=176 px=0 pl=176
PCADF 89 vbl=280 pres=89 tk=156334656 rt=0 fx=0 fl=178 px=0 pl=178
PCADF 90 vbl=282 pres=90 tk=157454784 rt=0 fx=0 fl=180 px=0 pl=180
PCADF 91 vbl=284 pres=91 tk=158575296 rt=0 fx=0 fl=182 px=0 pl=182
PCADF 92 vbl=286 pres=92 tk=159695744 rt=0 fx=0 fl=184 px=0 pl=184
PCADF 93 vbl=288 pres=93 tk=160816000 rt=0 fx=0 fl=186 px=0 pl=186
PCADF 94 vbl=290 pres=94 tk=161936256 rt=0 fx=0 fl=188 px=0 pl=188
PCADF 95 vbl=292 pres=95 tk=163056960 rt=0 fx=0 fl=190 px=0 pl=190
PCADF 96 vbl=294 pres=96 tk=164177024 rt=0 fx=0 fl=192 px=0 pl=192
PCADF 97 vbl=296 pres=97 tk=165297472 rt=0 fx=0 fl=194 px=0 pl=194
PCADF 98 vbl=298 pres=98 tk=166417728 rt=0 fx=0 fl=196 px=0 pl=196
PCADF 99 vbl=300 pres=99 tk=167538176 rt=0 fx=0 fl=198 px=0 pl=198
PCADF 100 vbl=302 pres=100 tk=168658688 rt=0 fx=0 fl=200 px=0 pl=200
PCADF 101 vbl=304 pres=101 tk=169779264 rt=0 fx=0 fl=202 px=0 pl=202
PCADF 102 vbl=306 pres=102 tk=170899392 rt=0 fx=0 fl=204 px=0 pl=204
PCADF 103 vbl=308 pres=103 tk=172019840 rt=0 fx=0 fl=206 px=0 pl=206
PCADF 104 vbl=310 pres=104 tk=173140160 rt=0 fx=0 fl=208 px=0 pl=208
PCADF 105 vbl=312 pres=105 tk=174260416 rt=0 fx=0 fl=210 px=0 pl=210
PCADF 106 vbl=314 pres=106 tk=175380736 rt=0 fx=0 fl=212 px=0 pl=212
PCADF 107 vbl=316 pres=107 tk=176501312 rt=0 fx=0 fl=214 px=0 pl=214
PCADF 108 vbl=318 pres=108 tk=177621760 rt=0 fx=0 fl=216 px=0 pl=216
PCADF 109 vbl=320 pres=109 tk=178742080 rt=0 fx=0 fl=218 px=0 pl=218
PCADF 110 vbl=322 pres=110 tk=179862336 rt=0 fx=0 fl=220 px=0 pl=220
PCADF 111 vbl=324 pres=111 tk=180982656 rt=0 fx=0 fl=222 px=0 pl=222
PCADF 112 vbl=326 pres=112 tk=182103104 rt=0 fx=0 fl=224 px=0 pl=224
PCADF 113 vbl=328 pres=113 tk=183223488 rt=0 fx=0 fl=226 px=0 pl=226
PCADF 114 vbl=330 pres=114 tk=184343936 rt=0 fx=0 fl=228 px=0 pl=228
PCADF 115 vbl=332 pres=115 tk=185464192 rt=0 fx=0 fl=230 px=0 pl=230
PCADF 116 vbl=334 pres=116 tk=186585216 rt=0 fx=0 fl=232 px=0 pl=232
PCADF 117 vbl=336 pres=117 tk=187705152 rt=0 fx=0 fl=234 px=0 pl=234
PCADF 118 vbl=338 pres=118 tk=188825344 rt=0 fx=0 fl=236 px=0 pl=236
PCADF 119 vbl=340 pres=119 tk=189945792 rt=0 fx=0 fl=238 px=0 pl=238
PCADF 120 vbl=342 pres=120 tk=191066112 rt=0 fx=0 fl=240 px=0 pl=240
PCADF 121 vbl=344 pres=121 tk=192186688 rt=0 fx=0 fl=242 px=0 pl=242
PCADF 122 vbl=346 pres=122 tk=193306688 rt=0 fx=0 fl=244 px=0 pl=244
PCADF 123 vbl=348 pres=123 tk=194427328 rt=0 fx=0 fl=246 px=0 pl=246
PCADF 124 vbl=350 pres=124 tk=195547712 rt=0 fx=0 fl=248 px=0 pl=248
