pc,whole_instructions,m80prof_instructions,m80gate_instructions
0x02012230,73,4,5
0x0201227c,73,4,5
0x02012370,76,4,8
0x02012418,73,4,5
0x0201248c,556,44,144
0x02012528,556,44,144
0x020125a0,720,48,192
0x0201260c,556,44,144
0x02012638,504,48,66
0x020126d4,107949,5535,5532
0x0201278c,24,3,6
0x020127b8,49060,2566,2563
0x0201291c,39632,2080,2080
0x02012ce0,208,8,4
0x02012e04,150896,7840,7840
0x02013184,91068,4577,4579
0x020131b4,70268,3537,3539
0x020131b8,70268,3537,3539
0x02013224,100,7,14
0x02013238,76,4,8
0x0201348c,2304,0,2304
0x020137b4,4,0,3
0x02013978,162344,8302,8363
0x020139b8,88062,4473,4534
0x020139c0,88061,4473,4534
0x02013a48,104,7,18
0x02013a84,13908,720,720
0x02013b4c,12308,640,640
0x02013b54,12308,640,640
0x02013d24,3036,160,160
0x02013ff8,30556,1531,1545
0x020141e4,104,7,18
0x0201420c,104,7,18
0x02014234,104,7,18
0x0201425c,104,7,18
0x0201429c,4857,245,246
0x02014374,1657,85,86
0x020143b8,24264,1219,1270
0x02014468,24098,1206,1218
0x020144c8,4801,240,240
0x020145d8,2974,170,288
0x02014820,69680,3610,3616
0x0201498c,69680,3610,3616
0x02014a08,4800,240,240
0x02014a60,4800,240,240
0x02014a6c,4800,240,240
0x02014d64,129601,6480,6480
0x020152d8,24,3,6
0x02015450,432,54,108
0x02015de0,576,31,76
0x02015e70,56,2,5
0x02016010,100,7,14
0x02016250,104,7,18
0x02016278,104,7,18
0x020162c8,104,7,18
0x020163ac,4,0,4
0x02016584,104,7,18
0x020165e8,104,7,18
0x02016650,45728,2403,2406
0x02016858,24,3,6
0x02016934,24,3,6
0x02016cc8,556,44,144
0x02016d98,556,44,144
0x020173b0,86401,4320,4320
0x02017400,12,0,12
0x020174f0,8000,400,400
0x02017624,78400,3920,3920
0x0201762c,78400,3920,3920
0x020176e0,24000,1200,1200
0x02017708,4800,240,240
0x02017950,60800,3040,3040
0x020179c8,4800,240,240
0x0201856c,295,15,12
0x0201880c,3710,240,309
0x02018cac,295,15,12
0x02018d80,330,29,40
0x02018e60,1203,81,119
0x02019234,104,7,18
0x020192ac,104,7,18
0x020192ec,44144,2240,2240
0x0201969c,260,13,21
0x020197c4,184,9,13
0x020197dc,260,13,21
0x0201992c,260,13,21
0x02019988,1600,80,80
0x0201a27c,76,4,8
0x0201a2a4,76,4,8
0x0201a2cc,76,4,8
0x0201a2e8,76,4,8
0x0201a818,76,4,8
0x0201ab48,76,4,8
0x0201ab98,76,4,8
0x0201ada4,76,4,8
0x0201adb4,76,4,8
0x0201adcc,76,4,8
0x0201af6c,3,0,3
0x0201af8c,3,0,3
0x0201aff0,3,0,3
0x0201aff8,3,0,3
0x0201b164,60,2,2
0x0201b2d8,76,4,8
0x0201b98c,73,4,5
0x0201b994,73,4,5
0x0201b9dc,73,4,5
0x0201bbd4,3,0,3
0x0201bc74,1,0,1
0x0201bcb0,1,0,1
0x0201bd24,1,0,1
0x0201c228,2304,0,2304
0x0201c3b8,3,0,3
0x0201c4c4,3,0,3
0x0201c4c8,3,0,3
0x0201c52c,3,0,3
0x0201c558,3,0,3
0x0201c5a8,3,0,3
0x0201c5e8,3,0,3
0x0201c648,3,0,3
0x0201c658,3,0,3
0x0201c690,3,0,3
0x0201c6f0,3,0,3
0x0201c7c4,3,0,3
