frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,gNdsHardwareRendererStatus,gNdsHardwareRendererPolyRamCount,gNdsParticleBatchOpens,gNdsParticleScaleEscalations,gNdsR2LightVectorWrites,gNdsParticleCameraLoads
495,1117696,304960,174720,4160,1536,1024,283456,81024,266816,247168,870656,4416,896,278016,35264,1472,2112,137408,57408,640,869632,100663296,461,192,60,990,223
496,1117824,304896,174848,4224,1472,70464,282432,84480,196928,176640,941440,4608,960,277248,34880,1408,1984,136640,57344,640,870976,100663296,463,192,60,992,223
497,1118080,304896,173184,4224,1600,1088,285440,82304,263680,244160,873408,4416,1024,279936,35008,1536,2112,138496,57664,640,872320,100663296,458,192,60,994,223
498,1117568,304320,174848,4288,1600,1024,283456,82368,263616,244096,873536,4352,960,278080,34368,1408,2112,137152,57664,704,872512,100663296,459,192,60,996,223
499,1117632,305408,176064,4096,1472,416512,284544,82944,263616,244096,873536,4352,1152,279040,35456,1344,1984,138368,57216,704,457024,100663296,456,192,60,998,223
500,1678144,306752,173568,4288,1472,1024,281792,81600,408064,387904,1290240,4544,960,276480,34944,1280,2048,135872,56768,640,1289216,100663296,455,192,60,1000,223
501,1117440,305216,176576,4160,1536,1024,287552,82112,265600,246208,871232,4352,1024,282240,34240,1408,1920,140800,57344,768,870208,100663296,454,192,60,1002,223
502,1117888,306240,176704,4224,1664,960,285184,81792,263744,244160,873408,4288,1024,279680,34304,1408,1920,138048,58432,704,872448,100663296,458,192,60,1004,223
503,1117568,306944,173120,4160,1536,1024,282496,82304,267072,247616,870016,4736,960,277056,35968,1472,2048,136768,56384,704,868992,100663296,458,192,60,1006,223
504,1117632,306368,172608,4224,1536,1024,389120,81472,162560,143168,974784,4544,1024,383552,37440,1408,2176,244288,56192,704,973760,100663296,463,192,60,1008,223
505,1117952,303424,174592,4224,128512,1024,476928,82496,504512,484480,1193664,4352,896,471360,125120,1472,2048,317760,70144,640,1192640,100663296,465,192,60,1010,223
506,1678144,306112,174336,4224,1600,1088,394816,82240,152896,133056,984640,4544,960,389376,126976,1472,1920,227840,77504,576,983552,100663296,465,192,60,1012,223
507,1117696,304768,176064,4224,1536,1024,396352,82112,151360,131712,985856,4416,1024,390848,126272,1408,2112,229888,77760,640,984832,100663296,457,192,60,1014,223
508,1117568,306624,174400,4160,1472,1024,392448,82304,154176,134400,983552,4480,960,387008,126144,1472,1920,225600,77376,640,982528,100663296,457,192,60,1016,223
509,1117952,309184,173056,4288,1600,1088,389760,83008,157184,137600,980032,4416,896,384448,129920,1344,1984,222336,78144,640,978944,100663296,438,192,60,1018,223
510,1117632,305664,175104,4224,1600,1024,352768,82688,193536,173760,944064,4288,1088,347328,89408,1472,1984,186624,77632,768,943040,100663296,457,192,60,1020,223
511,1117824,307264,174784,4160,1536,1024,360896,82560,188224,168448,949376,4480,1024,355392,89728,1472,1920,186240,86144,640,948352,100663296,457,192,60,1022,223
512,1117824,304896,174464,4224,1664,960,356352,81408,188224,168448,949376,4480,1024,350912,89984,1472,1920,189568,78144,640,948416,100663296,457,192,60,1024,223
513,1117568,304064,174464,4160,1536,415424,354368,81728,340800,320832,1357184,4544,1024,348800,86912,1280,2048,183488,82048,704,941760,100663296,464,192,60,1026,223
514,1678016,306112,173824,4224,1472,1024,264448,81600,283456,263808,853632,4352,896,259072,832,1344,2048,97088,77888,768,852608,100663296,459,192,60,1028,223
515,1117440,307392,173952,4096,1600,1088,263232,81792,283456,263808,853632,4352,896,257664,768,1472,1984,96384,78144,640,852544,100663296,459,192,60,1030,223
516,1117952,305472,174976,4224,1536,1024,379584,96064,153856,134208,983552,4416,896,374272,1856,1280,1984,206592,83008,704,982528,100663296,468,193,60,1032,224
517,1117760,304000,177472,4224,1472,1024,331264,96768,203776,183936,933760,4352,960,325824,42368,1152,1856,165184,75456,704,932736,100663296,468,194,60,1034,225
518,1117696,302912,176256,4224,1536,960,466816,96192,66496,46976,1071040,4416,960,461312,84416,1472,1984,299264,76416,704,1070080,100663296,471,195,60,1036,226
519,1118016,305536,176320,4160,1600,1024,374912,95552,162368,142784,974848,4480,1024,369344,98112,1536,1920,207616,76096,576,973824,100663296,461,196,60,1038,227
520,1117632,304000,173888,4288,2752,1088,587328,108928,493504,473536,1204608,4608,896,582144,832,1216,1984,289408,203968,704,1203520,100663296,472,197,60,1040,228
521,1678144,306112,174272,4160,2816,1024,271296,110272,493504,473536,1204608,4608,896,265920,896,1280,1920,98752,79488,640,1203584,100663296,462,198,60,1042,229
522,1117568,306240,177344,4160,2816,1024,276416,108544,246848,227136,890816,4416,960,271040,832,1216,1984,102528,81152,704,889792,100663296,444,199,60,1044,230
523,1117952,304256,173824,4224,2880,1088,543040,143296,503616,483648,1194368,84928,1024,537408,1152,1536,2048,227904,134528,768,1193280,100663296,460,202,60,1046,233
524,1678016,301248,178688,4160,2752,1024,445760,131392,53120,33408,1084032,164736,960,440192,1344,1408,2176,102592,77696,704,1083008,100663296,461,205,60,1048,236
525,1117440,304960,174144,4288,2816,1024,337600,121920,53120,33408,1084032,164736,1088,332032,50816,1472,1984,149056,81280,768,1083008,100663296,459,207,60,1050,238
526,1117952,307648,180416,4224,131072,70208,280512,127488,22016,1600,1116544,7168,960,274880,1536,1472,2048,96512,77312,768,1046336,100663296,458,209,60,1052,240
527,1118144,307136,175552,4160,3904,413632,283328,119296,372544,352064,1325696,6976,960,277888,1344,1408,2112,98624,78464,704,912064,100663296,463,211,60,1054,242
528,1677760,304704,176128,4224,2816,1024,306816,121216,372544,352064,1325696,6976,960,301312,25024,1344,1984,120000,80064,576,1324672,100663296,474,213,60,1056,244
